scope	relative	existed	md5_before
web	prefab/role_p/hero/magic/set_1.ab	1	28cb9768e746ca01ef00e10c4ab760fb
web	scene/dl_yongzhedalu.ab	1	a5576af5f254b4bf15d2bbc975aeb9d0
web	scene/dl_yongzhedalu_misc.ab	1	915cf1ac7d44e2a2197c9ac02a20bcfd
web	prefab/role/weapon/sword/magicswordofdancer.ab	1	4e6ab3751d3980661b707ab48cbfe522
web	prefab/role/weapon/sword/magicdarkreignblade.ab	1	73b3b378679e4e3ab798a0c9be4e418f
web	prefab/role/weapon/sword/magicruneblade.ab	1	9e48b053abbd496bebed01a1d8daad56
web	prefab/role_p/fx/scene/skill/skill_role/magic/manaslash.ab	1	2466ede99e7fe08c2a52c857714d7654
web	uiicon/skill_sp/zhanshi.ab	1	9b01d1e8b941f86c0870d5907963d224
web	tree/firefx.bytes	1	84064fb270638ee29c8f9ff59f2177f2
web	tree/firefx_packed.bytes	1	84f06c7fb992ed38ce7a2fb7bdb3dba5
web	lua/meta32.bytes	1	4dcf9a9bb46ef92980df2c4b41993d9f
web	lua/meta64.bytes	1	e5905f472b5c1fc4c6536851e94d251a
web	lua/packed32.bytes	1	66b220ed85a6103cd04ef3901d7250b7
web	lua/packed64.bytes	1	839c69754f7c4bd967cd2cbcb22c1360
web	lang/zh_cn/data.bytes	1	66722c1fcf62807cdfa0a6a216d5b648
web	prefab/ui/panel/skill.ab	1	f1236bee188dddc08f93c6caffbf0078
web	prefab/ui/panel/bag_sp/subviewbag.ab	1	d5772234333407eb5828785502cc0b1a
web	prefab/ui/panel/scene/main.ab	1	9c27a5a4293338b836cde424782a8f42
web	asm/hotfix/hotfix.bytes	1	3187353b5488fdc3e7cbd9ad40fb2848
web	1_0_15/bundle.ver	1	4ae15561742f7e7c8b2d22a990c89b91
web	bundle.ver	1	4ae15561742f7e7c8b2d22a990c89b91
web	bundlejo.json	1	c35f2e5cebc571ed3d36140939dd9b66
web	prefab/role_p/hero/magic/set_1.ab.28cb9768e746ca01ef00e10c4ab760fb	1	28cb9768e746ca01ef00e10c4ab760fb
web	scene/dl_yongzhedalu.ab.a5576af5f254b4bf15d2bbc975aeb9d0	1	a5576af5f254b4bf15d2bbc975aeb9d0
web	scene/dl_yongzhedalu_misc.ab.915cf1ac7d44e2a2197c9ac02a20bcfd	1	915cf1ac7d44e2a2197c9ac02a20bcfd
web	prefab/role/weapon/sword/magicswordofdancer.ab.4e6ab3751d3980661b707ab48cbfe522	1	4e6ab3751d3980661b707ab48cbfe522
web	prefab/role/weapon/sword/magicdarkreignblade.ab.73b3b378679e4e3ab798a0c9be4e418f	1	73b3b378679e4e3ab798a0c9be4e418f
web	prefab/role/weapon/sword/magicruneblade.ab.9e48b053abbd496bebed01a1d8daad56	1	9e48b053abbd496bebed01a1d8daad56
web	prefab/role_p/fx/scene/skill/skill_role/magic/manaslash.ab.2466ede99e7fe08c2a52c857714d7654	1	2466ede99e7fe08c2a52c857714d7654
web	uiicon/skill_sp/zhanshi.ab.9b01d1e8b941f86c0870d5907963d224	1	9b01d1e8b941f86c0870d5907963d224
web	tree/firefx.bytes.84064fb270638ee29c8f9ff59f2177f2	1	84064fb270638ee29c8f9ff59f2177f2
web	tree/firefx_packed.bytes.84f06c7fb992ed38ce7a2fb7bdb3dba5	1	84f06c7fb992ed38ce7a2fb7bdb3dba5
web	lua/meta32.bytes.6f009f8c1a4e7cbea14b11970f97e79a	0	-
web	lua/meta64.bytes.4835d251adb9b682152fe7fd5d3cfcae	0	-
web	lua/packed32.bytes.6517a904a5194bd83b5acf4f8971f4ff	0	-
web	lua/packed64.bytes.87724158e922ab0a9ee541dacd2f013e	0	-
web	lang/zh_cn/data.bytes.66722c1fcf62807cdfa0a6a216d5b648	1	66722c1fcf62807cdfa0a6a216d5b648
web	prefab/ui/panel/skill.ab.f1236bee188dddc08f93c6caffbf0078	1	f1236bee188dddc08f93c6caffbf0078
web	prefab/ui/panel/bag_sp/subviewbag.ab.d5772234333407eb5828785502cc0b1a	1	d5772234333407eb5828785502cc0b1a
web	prefab/ui/panel/scene/main.ab.9c27a5a4293338b836cde424782a8f42	1	9c27a5a4293338b836cde424782a8f42
web	asm/hotfix/hotfix.bytes.3187353b5488fdc3e7cbd9ad40fb2848	1	3187353b5488fdc3e7cbd9ad40fb2848
server	Props_export.xjson	1	ddda2d8ea918b77ffae51478d5d391cc
server	AutoRecycle_export.xjson	1	906efbadbaf54e520e2d8f1029a8132f
server	PropsPropertyRandom_export.xjson	1	fc1046ffd5e684b505438d3802a7e8c5
server	EquipmentAffixPool_export.xjson	1	03eef459bb2216619977be383d782a00
server	Skill_export.xjson	1	b1879cb21ba9365abe25bf0bf8fbc4ec
server	FxSource_export.xjson	1	b0df3b7cbb6ce777e6ea7abb92d692b0
server	SkillTalent_export.xjson	1	fa05c926326535d76916ad25badedd6c
server	lang.xjson	1	846dcadf851868592fe74a8c61a88d47
server	data.xjson	1	6722ec058d1cc6fcbe8e7274ceab9e01
tree	fire_fx.xjson	1	7c04539c1f8a9db1a944825e21a9409c
prefab	EP_MagicManaSlash_01.xjson	1	837151ba007b129b646541d027fb4460
prefab	RP_Magic_MainBone.xjson	1	4d04a8ade313ae31d19a627a57d91ef0
prefab	RP_MagicSwordOfDancer_0.xjson	1	944f86cc0c07292f63daa1e1dcf6b744
prefab	RP_MagicDarkReignBlade_0.xjson	1	b9fa63369b024a602a78f40ef22d446d
prefab	RP_MagicRuneBlade_0.xjson	1	c83915fb261920feba367ccc8d47f0dc
prefab	prefab_assets.xjson	1	52b0b1897baae6075c8bd1b0a3768711
